item,precio,unidad,nota
# 1/0    XHHW STRANDED ALUMINUM COMPACT,880,MLF,hoy 396.16 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 2/0   XHHW STRANDED ALUMINUM COMPACT,1110,MLF,hoy 468.19 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 3/0    XHHW STRANDED ALUMINUM COMPACT,1400,MLF,hoy 581.28 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 4/0   XHHW STRANDED ALUMINUM COMPACT,1680,MLF,hoy 646.09 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 250   MCM XHHW STRANDED ALUMINUM COMPACT,2300,MLF,hoy 788.71 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 300    MCM XHHW STRANDED ALUMINUM COMPACT,2650,MLF,hoy 1089.8 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 350    MCM XHHW STRANDED ALUMINUM COMPACT,3050,MLF,hoy 1107.81 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 400    MCM XHHW STRANDED ALUMINUM COMPACT,3450,MLF,hoy 1295.08 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 500    MCM XHHW STRANDED ALUMINUM COMPACT,4300,MLF,hoy 1428.35 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
# 600    MCM XHHW STRANDED ALUMINUM COMPACT,5150,MLF,hoy 1810.08 — Platt lista 4/0 $1.68/ft; 250 $2.29–2.67/ft; 500 $3.85–4.96/ft (Sept 2026)
