item,precio,unidad,nota
# 14      THHN SOLID CU.,130,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 151.37
# 12      THHN STRANDED CU.,260,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 220.94
# 10      THHN STRANDED CU.,460,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 340.69
# 8         THHN STRANDED CU.,830,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 745.45
# 6       THHN STRANDED CU.,1190,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 1168.45
# 4         THHN STRANDED CU.,2130,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 1789.59
# 1/0   THHN STRANDED CU.,4700,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 3852.93
# 2/0   THHN STRANDED CU.,5760,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 4760.8
# 3/0    THHN STRANDED CU.,5960,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 5997.2
# 4/0   THHN STRANDED CU.,8570,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 7663.33
# 250   MCM THW CU.,9460,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 9005.33
# 300   MCM THW CU.,11410,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 10868
# 350   MCM THW CU.,14840,MLF,lista Platt Sept 2026 (THHN; tú compras THW en MCM) — tuyo hoy 12647.07
