n,prueba,esperado,obtenido,ok,corrida
1,vistas security_invoker solo para authenticated; tablas con RLS; ninguna DEFINER; de la API solo el control,"vistas=28 invoker=28 select_auth=28 otros_privilegios=0 tablas_rls=8 policies=8 definer=0 api=fn_estados_control(text,text[]) columnas_fijadas=0","vistas=28 invoker=28 select_auth=28 otros_privilegios=0 tablas_rls=8 policies=8 definer=0 api=fn_estados_control(text,text[]) columnas_fijadas=0",true,2026-09-26 14:40:09.187402+00
2,el equipo lee 0 filas de todas las vistas y no ejecuta nada nuevo; anon no abre ninguna,dueño_ve>0 equipo_filas=0 equipo_errores= funciones=todas_42501 anon=todas_42501,dueño_ve>0 equipo_filas=0 equipo_errores= funciones=todas_42501 anon=todas_42501,true,2026-09-26 14:40:09.187402+00
3,"con c4 y el libro lleno, los controles de c2 y c3 siguen en verde",triggers=t permisos=t cuadre=t reversos=t partidas=t documentos=t,triggers=t permisos=t cuadre=t reversos=t partidas=t documentos=t,true,2026-09-26 14:40:09.187402+00
4,cada cuenta con su fila; una cuenta nueva sin fila se dice en rojo,filas=todas 1010=activo_circulante/efectivo/1/f/t/efectivo 1590=activo_fijo/depreciacion_acumulada/1/t/f/no_monetario 3200=capital/distribuciones/-1/t/f/fin_distribuciones 5011=costo/costo/1/t/f/resultado 2100-2009=pasivo_circulante/tarjetas/-1/f/f/op_tarjetas 9000=gastos/gastos/1/f/f/resultado 3900=capital/utilidades_retenidas/-1/f/f/ajustes nueva=sin_fila:t balanza:500.00 control:f:2100-9997 derivar=t control_despues:t,filas=todas 1010=activo_circulante/efectivo/1/f/t/efectivo 1590=activo_fijo/depreciacion_acumulada/1/t/f/no_monetario 3200=capital/distribuciones/-1/t/f/fin_distribuciones 5011=costo/costo/1/t/f/resultado 2100-2009=pasivo_circulante/tarjetas/-1/f/f/op_tarjetas 9000=gastos/gastos/1/f/f/resultado 3900=capital/utilidades_retenidas/-1/f/f/ajustes nueva=sin_fila:t balanza:500.00 control:f:2100-9997 derivar=t control_despues:t,true,2026-09-26 14:40:09.187402+00
5,el mapeo se ajusta con rastro; la guarda no deja uno incoherente,historial=gastos→otros_gastos estado=otros_gastos renglon=ocupacion:1300.00 1010_pasivo=MX006 6100_efectivo=MX006 signo_a_mano=MX006 flujo_repetido=MX006,historial=gastos→otros_gastos estado=otros_gastos renglon=ocupacion:1300.00 1010_pasivo=MX006 6100_efectivo=MX006 signo_a_mano=MX006 flujo_repetido=MX006,true,2026-09-26 14:40:09.187402+00
6,"volver a pegar no duplica, no pisa lo ajustado y no ensucia el historial","sembrar={""mapeo"": [], ""renglones"": 0, ""configuracion"": 0} historial=+0 etiqueta=Ingresos de obra mapeo=Material de obra config=si renglones=igual","sembrar={""mapeo"": [], ""renglones"": 0, ""configuracion"": 0} historial=+0 etiqueta=Ingresos de obra mapeo=Material de obra config=si renglones=igual",true,2026-09-26 14:40:09.187402+00
7,la balanza en cero con asientos de todos los tipos,"tipos=ajuste_cpa,apertura,normal caminos=mano,puente,reverso,reverso_automatico cuadra=t,t,t,t distintas=0","tipos=ajuste_cpa,apertura,normal caminos=mano,puente,reverso,reverso_automatico cuadra=t,t,t,t distintas=0",true,2026-09-26 14:40:09.187402+00
8,activo = pasivo + capital + resultado en cada corte,"cuadra=0.00,0.00,0.00,0.00 activo_libro=t,t,t,t resultado=t,t,t","cuadra=0.00,0.00,0.00,0.00 activo_libro=t,t,t,t resultado=t,t,t",true,2026-09-26 14:40:09.187402+00
9,un descuadre no entra y la balanza sigue en cero,fn_postear=MX001 interna=MX001 directo=MX001 asientos=+0 cuadra=t,fn_postear=MX001 interna=MX001 directo=MX001 asientos=+0 cuadra=t,true,2026-09-26 14:40:09.187402+00
10,el mayor: saldo corrido = balanza; cada línea con su asiento,cuentas_distintas=0 sin_asiento=0 cxp_en_su_lado=positivo,cuentas_distintas=0 sin_asiento=0 cxp_en_su_lado=positivo,true,2026-09-26 14:40:09.187402+00
